Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-mitre.fhir.spacehealth.json	47483	-	0	0	0	0	0	0	2	285	0	0	0	0	0	0	0	1	0	0	316	403	0	0	0	6	1	0
fsh-generated/resources/ConceptMap-MapNoradToLocation.json	87	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	8	284	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-MapNoradToObservation.json	90	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	8	36	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-MapObservationToLocation.json	93	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	44	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-MapObservationToNorad.json	90	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	20	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-MapVitalsBundleToPanel.json	91	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	36	0	0	0	0	0	0
fsh-generated/resources/Condition-ConditionAsphyxiation.json	488	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	27	0	0	0	0	0	0
fsh-generated/resources/Condition-ConditionBluntTrauma.json	474	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	30	0	0	0	0	0	0
fsh-generated/resources/Condition-ConditionBurn.json	480	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	29	0	0	0	0	0	0
fsh-generated/resources/Condition-ConditionHeartAttack.json	510	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	49	0	0	0	0	0	0
fsh-generated/resources/Condition-ConditionHypoxia.json	473	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	61	0	0	0	0	0	0
fsh-generated/resources/Condition-ConditionOccularDegeneration.json	507	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	11	70	0	0	0	0	0	0
fsh-generated/resources/Condition-ConditionOsteoporosis.json	483	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	10	8	0	0	0	0	0	0
fsh-generated/resources/Condition-ConditionRadiationExposure.json	514	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	9	0	0	0	0	0	0
fsh-generated/resources/Condition-ConditionSmokeInhalation.json	489	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	9	0	0	0	0	0	0
fsh-generated/resources/Condition-ConditionStroke.json	490	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	9	0	0	0	0	0	0
fsh-generated/resources/Consent-ConsentAnonLoc.json	1679	1	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	20	11	0	0	0	0	0	0
fsh-generated/resources/Consent-ConsentAnonOrg.json	1831	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	22	10	0	0	0	0	0	0
fsh-generated/resources/Consent-ConsentAnonPrac.json	1688	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	22	20	0	0	0	0	0	0
fsh-generated/resources/Consent-ConsentClinicianLoc.json	1707	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	23	20	0	0	0	0	0	0
fsh-generated/resources/Consent-ConsentClinicianOrg.json	1715	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	24	19	0	0	0	0	0	0
